Date;Price;Open;High;Low;Vol;Change %
Mar 29. 2022;47818.00;47126.00;48127.00;47087.00;51467M;1.51%
Mar 28. 2022;47105.00;46859.00;48199.00;46672.00;61027M;0.52%
Mar 27. 2022;46859.00;44542.00;46947.00;44445.00;38879M;5.19%
Mar 26. 2022;44548.00;44331.00;44818.00;44090.00;19630M;0.49%
Mar 25. 2022;44331.00;44013.00;45112.00;43622.00;49409M;0.72%
Mar 24. 2022;44013.00;42911.00;44251.00;42658.00;49166M;2.57%
Mar 23. 2022;42912.00;42373.00;43027.00;41795.00;43396M;1.27%
Mar 22. 2022;42373.00;41022.00;43327.90;40893.00;53706M;3.29%
Mar 21. 2022;41022.00;41282.00;41532.00;40530.00;40662M;-0.62%
Mar 20. 2022;41276.00;42241.00;42301.00;40922.00;30845M;-2.27%
Mar 19. 2022;42233.00;41768.00;42386.00;41529.60;22459M;1.11%
Mar 18. 2022;41767.80;40914.60;42308.40;40234.80;231B;2.08%
Mar 17. 2022;40914.80;41118.70;41406.00;40557.80;190B;-0.50%
Mar 16. 2022;41118.70;39282.50;41701.60;38953.20;447B;4.67%
Mar 15. 2022;39285.70;39673.00;39854.70;38220.90;225B;-0.97%
Mar 14. 2022;39671.10;37789.50;39914.30;37613.60;233B;4.97%
Mar 13. 2022;37792.40;38813.20;39272.30;37603.40;155B;-2.63%
Mar 12. 2022;38814.30;38730.20;39355.30;38666.50;111B;0.22%
Mar 11. 2022;38730.20;39422.50;40177.00;38236.40;279B;-1.74%
Mar 10. 2022;39416.30;41933.90;42029.10;38603.50;362B;-5.99%
Mar 09. 2022;41929.00;38731.50;42538.50;38663.30;360B;8.22%
Mar 08. 2022;38744.80;38020.60;39351.50;37886.60;267B;1.89%
Mar 07. 2022;38024.80;38420.60;39532.00;37182.10;302B;-0.99%
Mar 06. 2022;38403.10;39396.30;39668.10;38115.00;193B;-2.52%
Mar 05. 2022;39395.80;39142.80;39600.20;38626.10;150B;0.65%
Mar 04. 2022;39142.70;42463.00;42848.70;38594.90;321B;-7.82%
Mar 03. 2022;42463.00;43912.80;44077.20;41840.80;7411K;-3.30%
Mar 02. 2022;43912.80;44420.30;45294.20;43361.30;8082K;-1.14%
Mar 01. 2022;44420.30;43187.20;44900.50;42876.60;9067K;2.85%
Feb 28. 2022;43188.20;37707.20;43977.80;37458.90;10807K;14.59%
Feb 27. 2022;37689.10;39116.60;39838.50;37062.30;6614K;-3.65%
Feb 26. 2022;39115.50;39221.60;40094.50;38639.10;4155K;-0.24%
Feb 25. 2022;39209.60;38339.20;39683.70;38042.60;8378K;2.27%
Feb 24. 2022;38339.20;37250.20;39351.60;34357.40;18047K;2.99%
Feb 23. 2022;37224.60;38248.20;39194.50;37099.50;6484K;-2.68%
Feb 22. 2022;38248.20;37018.30;38414.90;36399.60;8275K;3.32%
Feb 21. 2022;37017.70;38355.00;39444.10;36868.90;9182K;-3.49%
Feb 20. 2022;38355.00;40089.60;40120.30;38042.20;4792K;-4.33%
Feb 19. 2022;40090.30;40000.10;40434.30;39666.60;2578K;0.23%
Feb 18. 2022;40000.10;40532.50;40935.50;39505.00;6496K;-1.36%
Feb 17. 2022;40552.80;43885.50;44167.10;40103.80;7263K;-7.59%
Feb 16. 2022;43883.60;44540.90;44552.90;43377.60;4140K;-1.48%
Feb 15. 2022;44544.40;42550.30;44722.60;42460.10;5634K;4.69%
Feb 14. 2022;42550.30;42061.10;42799.70;41591.30;5360K;1.16%
Feb 13. 2022;42061.10;42205.50;42725.10;41880.10;2588K;-0.34%
Feb 12. 2022;42205.20;42388.40;43006.40;41776.80;3788K;-0.43%
Feb 11. 2022;42388.40;43519.30;43915.10;42023.40;6995K;-2.60%
Feb 10. 2022;43521.00;44388.90;45755.20;43242.50;8969K;-1.96%
